"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","searching for ""Tshirt"" returns at least 1 product(s) @regression","api","2026-07-03","passed","2026-07-03","Search Product API @api","api/search.api.spec.ts","",""
"","673","verifyLogin rejects an unknown email @regression","api","2026-07-03","passed","2026-07-03","Account & Auth API @api","api/auth.api.spec.ts","",""
"","88","searching for ""Top"" returns at least 1 product(s) @regression","api","2026-07-03","passed","2026-07-03","Search Product API @api","api/search.api.spec.ts","",""
"","6697","registers a brand new user end-to-end @smoke","firefox","2026-07-03","failed","2026-07-03","Signup","ui/auth/signup.spec.ts","",""
"","2324","search for ""Dress"" returns matching products @regression","chromium","2026-07-03","passed","2026-07-03","Product search","ui/products/search.spec.ts","",""
"","71","PUT brandsList consistently reports a 405-equivalent responseCode @regression","api","2026-07-03","passed","2026-07-03","Unsupported HTTP method contract @api","api/negative-methods.api.spec.ts","",""
"","1159","shows full product information @smoke","chromium","2026-07-03","passed","2026-07-03","Product details","ui/products/product-details.spec.ts","",""
"","722","verifyLogin with a missing parameter returns a 400-equivalent responseCode @regression","api","2026-07-03","passed","2026-07-03","Account & Auth API @api","api/auth.api.spec.ts","",""
"","6718","rejects an invalid email/password combination @smoke","firefox","2026-07-03","failed","2026-07-03","Login","ui/auth/login.spec.ts","",""
"","10379","rejects signup with an already-registered email @regression","firefox","2026-07-03","failed","2026-07-03","Signup","ui/auth/signup.spec.ts","",""
"","1800","search for ""zzz-nonexistent-product-xyz"" returns no products @regression","chromium","2026-07-03","passed","2026-07-03","Product search","ui/products/search.spec.ts","",""
"","1838","accepts and submits a product review @regression","chromium","2026-07-03","passed","2026-07-03","Product details","ui/products/product-details.spec.ts","",""
"","11962","search for ""Jeans"" returns matching products @regression","webkit","2026-07-03","failed","2026-07-03","Product search","ui/products/search.spec.ts","",""
"","11483","accepts and submits a product review @regression","webkit","2026-07-03","failed","2026-07-03","Product details","ui/products/product-details.spec.ts","",""
"","2210","search for ""Top"" returns matching products @regression","chromium","2026-07-03","passed","2026-07-03","Product search","ui/products/search.spec.ts","",""
"","800","full account lifecycle: create, verify login, fetch details, update, delete @smoke","api","2026-07-03","passed","2026-07-03","Account & Auth API @api","api/auth.api.spec.ts","",""
"","65","POST productsList consistently reports a 405-equivalent responseCode @regression","api","2026-07-03","passed","2026-07-03","Unsupported HTTP method contract @api","api/negative-methods.api.spec.ts","",""
"","10762","rejects signup with an already-registered email @regression","webkit","2026-07-03","failed","2026-07-03","Signup","ui/auth/signup.spec.ts","",""
"","11823","search for ""Dress"" returns matching products @regression","firefox","2026-07-03","failed","2026-07-03","Product search","ui/products/search.spec.ts","",""
"","65","missing search_product parameter returns a 400-equivalent responseCode @regression","api","2026-07-03","passed","2026-07-03","Search Product API @api","api/search.api.spec.ts","",""
"","58","PUT brandsList is rejected with a 405-equivalent responseCode @regression","api","2026-07-03","passed","2026-07-03","Brands API @api","api/brands.api.spec.ts","",""
"","6551","shows full product information @smoke","webkit","2026-07-03","failed","2026-07-03","Product details","ui/products/product-details.spec.ts","",""
"","67","searching for ""zzz-nonexistent-product-xyz"" returns at least 0 product(s) @regression","api","2026-07-03","passed","2026-07-03","Search Product API @api","api/search.api.spec.ts","",""
"","12416","lets a customer set quantity on the product page before adding to cart @regression","webkit","2026-07-03","failed","2026-07-03","Cart","ui/cart/add-to-cart.spec.ts","",""
"","2736","a user created via the API can log in through the UI @hybrid","hybrid-chromium","2026-07-03","passed","2026-07-03","Hybrid: API creates, UI verifies","hybrid/api-create-ui-verify.spec.ts","",""
"","6638","registers a brand new user end-to-end @smoke","webkit","2026-07-03","failed","2026-07-03","Signup","ui/auth/signup.spec.ts","",""
"","6881","submits the contact form successfully @smoke","webkit","2026-07-03","failed","2026-07-03","Contact us","ui/contact/contact-form.spec.ts","",""
